realization,time,region,value,ci_name,ci_frequency,ci_package_name,ci_package_reference,standard_name,units
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2010-07-15,WASCAL,299.15067,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2011-07-15,WASCAL,298.65036,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2012-07-15,WASCAL,299.10266,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2013-07-15,WASCAL,299.0432,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2014-07-15,WASCAL,299.0143,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2015-07-15,WASCAL,298.8556,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2016-07-15,WASCAL,298.9678,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2017-07-15,WASCAL,299.62772,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2018-07-15,WASCAL,299.61118,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2019-07-15,WASCAL,299.11166,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2020-07-15,WASCAL,299.44043,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2021-07-15,WASCAL,299.8598,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2022-07-15,WASCAL,300.28586,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2023-07-15,WASCAL,299.47775,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2024-07-15,WASCAL,299.87665,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2025-07-15,WASCAL,299.2408,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2026-07-15,WASCAL,299.41235,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2027-07-15,WASCAL,299.19183,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2028-07-15,WASCAL,299.29883,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2029-07-15,WASCAL,300.11887,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2030-07-15,WASCAL,299.8415,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2031-07-15,WASCAL,300.1511,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2032-07-15,WASCAL,300.6123,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2033-07-15,WASCAL,300.21436,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2034-07-15,WASCAL,299.83777,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2035-07-15,WASCAL,300.21957,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2036-07-15,WASCAL,299.64426,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2037-07-15,WASCAL,299.4961,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2038-07-15,WASCAL,300.09796,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2039-07-15,WASCAL,299.3483,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2040-07-15,WASCAL,300.09747,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2041-07-15,WASCAL,299.9378,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2042-07-15,WASCAL,299.643,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2043-07-15,WASCAL,299.87036,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2044-07-15,WASCAL,299.45935,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2045-07-15,WASCAL,299.66925,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2046-07-15,WASCAL,300.1255,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2047-07-15,WASCAL,300.06967,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2048-07-15,WASCAL,299.64246,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2049-07-15,WASCAL,300.75238,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2050-07-15,WASCAL,299.3275,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2051-07-15,WASCAL,300.33954,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2052-07-15,WASCAL,300.05292,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2053-07-15,WASCAL,300.23065,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2054-07-15,WASCAL,300.17017,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2055-07-15,WASCAL,299.26953,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2056-07-15,WASCAL,299.95416,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2057-07-15,WASCAL,300.2254,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2058-07-15,WASCAL,300.20972,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2059-07-15,WASCAL,300.30746,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2060-07-15,WASCAL,300.27798,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2061-07-15,WASCAL,300.06555,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2062-07-15,WASCAL,299.87778,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2063-07-15,WASCAL,300.2383,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2064-07-15,WASCAL,300.06848,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2065-07-15,WASCAL,300.29984,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2066-07-15,WASCAL,300.1224,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
AFR-22_GERICS_CLMcom-KIT-CCLM5-0-15_MOHC-HadGEM2-ES_rcp26_r1i1p1_year_TG,2067-07-15,WASCAL,300.1542,TG,year,xclim_0.54.0,xcalc_0.12.0,air_temperature,K
